"PKey","Name","Desc"
"1","Format01","Format 01"
"2","Format02","Format 02"
"3","Format03","Format 03"
"4","Format04","Format 04"
"5","Format05","Format 05"
"6","Format06","Format 06"
"7","Format07","Format 07"
"8","Format08","Format 08"
"9","Format09","Format 09"
"10","Format10","Format 10"
"11","Format11","Format 11"
"12","Format12","Format 12"
"13","Format13","Format 13"
"14","Format14","Format 14"
"15","Format15","Format 15"
"16","Format16","Format 16"
"17","Format17","Format 17"
"18","Format18","Format 18"
"19","Format19","Format 19"
"20","Format20","Format 20"
