"PKey","Name","ProjectId","ProjectMap","Desc","IsRemote","HostName","ApTitle","ApInvoke","AeQual","AeInvoke","Psel","Ssel","Tsel","Shared","AuthMode","AuthMeth","Hash","Encryption","Cert1","Cert2","Cert3","Cert4","Cert5","Cert6","Cert7","Cert8"
"1","PMPA_ISA","0","0","PMPA ICCP Server A","0","","1 3 9999 1 101","","101","","0001","0001","0001","0","0","0","0","0","","","","","","","",""
"2","PMPA_ISB","0","0","PMPA ICCP Server B","0","","1 3 9999 1 102","","102","","0001","0001","0001","0","0","0","0","0","","","","","","","",""
"3","RALP1","0","0","DUKE Raleigh P1","1","172.26.192.141","2 16 3826 68 85 75 80 49 73","","101","","00 00 00 01","00 01","00 01","0","0","0","0","0","","","","","","","",""
"4","RALP2","0","0","DUKE Raleigh P2","1","172.26.192.142","2 16 3826 68 85 75 80 50 73","","102","","00 00 00 01","00 01","00 01","0","0","0","0","0","","","","","","","",""
"5","LocalClient1","0","0","Local Interface to Remote Server 1","0","","1 3 9999 1 103","","101","","0003","0003","0003","0","0","0","0","0","","","","","","","",""
"6","LocalClient2","0","0","Local Interface to Remote Server 2","0","","1 3 9999 1 104","","102","","0003","0003","0003","0","0","0","0","0","","","","","","","",""
"7","CLTECTECP1","0","0","Duke  Remote ICCP 1","1","172.26.192.33","1 1 1221","","1221","","00 00 00 01","00 01","00 01","0","0","0","0","0","","","","","","","",""
"8","CLTECTECP2","0","0","Duke  Remote ICCP 2","1","172.26.192.34","1 1 1231","","1231","","00 00 00 01","00 01","00 01","0","0","0","0","0","","","","","","","",""
"9","CLTTVTECP1","0","0","Duke  Remote Test ICCP 1","1","172.26.192.35","1 1 1241","","1241","","00 00 00 01","00 01","00 01","0","0","0","0","0","","","","","","","",""
"10","CLTTVTECP2","0","0","Duke  Remote Test ICCP 2","1","172.26.192.36","1 1 1251","","1251","","00 00 00 01","00 01","00 01","0","0","0","0","0","","","","","","","",""
"11","LocalDukeA","0","0","Local Duke Client Server A","0","","1 3 9999 1 201","","201","","0004","0004","0004","0","0","0","0","0","","","","","","","",""
"12","LocalDukeB","0","0","Local Duke Client Server B","0","","1 3 9999 1 202","","202","","0004","0004","0004","0","0","0","0","0","","","","","","","",""
"13","LocalSanteeA","0","0","Local Santee Client Server A","0","","1 3 9999 1 301","","301","","0005","0005","0005","0","0","0","0","0","","","","","","","",""
"14","LocalSanteeB","0","0","Local Santee Client Server B","0","","1 3 9999 1 302","","302","","0005","0005","0005","0","0","0","0","0","","","","","","","",""
"15","iccp1","0","0","Santee Remote ICCP 1","1","192.168.8.101","1 2 999","","2","","00 00 00 02","00 01","00 01","0","0","0","0","0","","","","","","","",""
"16","CLTP1","0","0","DUKE Charlotte P1","1","172.26.192.241","2 16 3826 68 85 75 80 51 73","","103","","00 00 00 01","00 01","00 01","0","0","0","0","0","","","","","","","",""
"17","CLTP2","0","0","DUKE Charlotte P2","1","172.26.192.242","2 16 3826 68 85 75 80 52 73","","104","","00 00 00 01","00 01","00 01","0","0","0","0","0","","","","","","","",""
"18","iccp2","0","0","Santee Remote ICCP 1","1","192.168.8.102","1 2 998","","8","","00 00 00 02","00 01","00 01","0","0","0","0","0","","","","","","","",""
"19","iccp3","0","0","Santee Remote ICCP 3","1","192.168.8.103","1 2 997","","7","","00 00 00 02","00 01","00 01","0","0","0","0","0","","","","","","","",""
"20","iccp4","0","0","Santee Remote ICCP 4","1","192.168.8.104","1 2 996","","6","","00 00 00 02","00 01","00 01","0","0","0","0","0","","","","","","","",""
"21","PMPA_DukeA","0","0","PMPA-Duke Client Server A (added 2022)","0","","2 16 3826 80 77 80 65 51 73","","203","","0004","0004","0004","0","0","0","0","0","","","","","","","",""
"22","PMPA_DukeB","0","0","PMPA-Duke Client Server B (added 2022)","0","","2 16 3826 80 77 80 65 52 73","","204","","0004","0004","0004","0","0","0","0","0","","","","","","","",""
"23","PMPA_SanteeA","0","0","PMPA-Santee Client Server A (added 2022)","0","","2 16 3826 80 77 80 65 51 73","","303","","0005","0005","0005","0","0","0","0","0","","","","","","","",""
"24","PMPA_SanteeB","0","0","PMPA-Santee Client Server B (added 2022)","0","","2 16 3826 80 77 80 65 52 73","","304","","0005","0005","0005","0","0","0","0","0","","","","","","","",""
