"PKey","Name","Desc","P1Title","P1Attr","P2Title","P2Attr","P3Title","P3Attr"
"1","GT","Greater Than","Output","ASVOM","Input1","ASVIM","Input2","ASVIM"
"2","GE","Greater or Equal","Output","ASVOM","Input1","ASVIM","Input2","ASVIM"
"3","EQ","Equal","Output","ASVOM","Input1","ASVIM","Input2","ASVIM"
"4","LE","Less or Equal","Output","ASVOM","Input1","ASVIM","Input2","ASVIM"
"5","LT","Less Than","Output","ASVOM","Input1","ASVIM","Input2","ASVIM"
"6","NE","Not Equal","Output","ASVOM","Input1","ASVIM","Input2","ASVIM"
"7","OR","Logical Or","Output","ASVOM","Input1","ASVI","Input2","ASVIM"
"8","AND","Logical And","Output","ASVOM","Input1","ASVI","Input2","ASVIM"
"9","NOT","P1 And Not P2","Output","ASVOM","Input1","ASVI","Input2","ASVIM"
"10","XOR","Logical Xor","Output","ASVOM","Input1","ASVIM","Input2","ASVIM"
"11","VLV","Valve Calculation","Output","ASVOM","Input1","ASVIM","Input2","ASVIM"
"12","+","Addition","Output","ASVOM","Input1","ASVIM","Input2","ASVIM"
"13","-","Subtract P2 from P1","Output","ASVOM","Input1","ASVIM","Input2","ASVIM"
"14","*","Multiply P2 by P1","Output","ASVOM","Input1","ASVIM","Input2","ASVIM"
"15","/","Divide P1 by P2","Output","ASVOM","Input1","ASVIM","Input2","ASVIM"
"16","MIN","Minimum of P1 and P2","Output","ASVOM","Input1","ASVIM","Input2","ASVIM"
"17","MAX","Maximum of P1 and P2","Output","ASVOM","Input1","ASVIM","Input2","ASVIM"
"18","COPY","Copy P1 to Output","Output","ASVOM","Input","ASVIM","",""
"19","IF TRUE","If P2 = TRUE","","","","","Input","ASVIM"
"20","IF FALSE","If P2 = FALSE","","","","","Input","ASVIM"
"21","END IF","End If","","","","","",""
"22","NAND","Logical NAND","Output","ASVOM","Input1","ASVIM","Input2","ASVIM"
"23","NOR","Logical NOR","Output","ASVOM","Input1","ASVIM","Input2","ASVIM"
"25","CCopy","Conditional Copy","Output","ASVOM","Input1","ASVIM","Input2","ASVIM"
