"PKEY","NAME","DESC","PROJECTID","PROJECTMAP","MASK"
"1","Zone1","Zone 1","0","0","ZONE1"
"2","Zone4","Zone 4","0","0","ZONE4"
"3","Zone5","Abbeville alarms - DO NOT include in all alarms","0","0","ZONE5"
"4","Worldview","All zones for worldview","0","0","T=HZ;29000000410000008BF2F77335E4E58A02524610CA184299402853086506A1425C834378B9FCFCE35D7D1D3D7DE2414200"
"5","Zone6","Newberry alarms - include in all zones","0","0","ZONE6"
"6","Admin_AllZones","All Zones for PMPA users (minus 4,5, test)","0","0","T=HZ;120000001A0000008BF2F77335E4E58A02524610CA1842990100"
"7","ZoneTestGroup","ZoneTestGroup","0","0","ZONETEST"
"8","NO_EMAILS","Don't send emails for this group","0","0","NO_EMAIL_ZONE"
"9","Zone4","Zone 4","0","0","ZONE4"
"10","AllZones","All Zones (minus 4,5,6)","0","0","T=HZ;210000002C0000008BF2F77335E4E58A02524610CA184285B80687F072F9F9C7BBFA3A7AFAC4838400"
"256","AllZones","All Zones (minus 4,5,6)","0","0","T=HZ;210000002C0000008BF2F77335E4E58A02524610CA184285B80687F072F9F9C7BBFA3A7AFAC4838400"
